iso3c,country,year,life_expectancy,co2_emissions,gdp_per_cap,region,income,longitude,latitude
VNM,Vietnam,1997,72.399,0.584708333299842,669.911659651252,Z4,XN,105.825,21.0069
VNM,Vietnam,1998,72.617,0.60824281056909,699.616942118451,Z4,XN,105.825,21.0069
VNM,Vietnam,1999,72.824,0.603434888444514,724.479782956808,Z4,XN,105.825,21.0069
VNM,Vietnam,2008,74.625,1.36813995290284,1198.41721350262,Z4,XN,105.825,21.0069
VNM,Vietnam,2009,74.745,1.47699353324794,1250.79576057587,Z4,XN,105.825,21.0069
VNM,Vietnam,2010,74.837,1.62261892158516,1317.89070617836,Z4,XN,105.825,21.0069
VNM,Vietnam,2011,74.904,1.71224064580119,1385.89038466892,Z4,XN,105.825,21.0069
VNM,Vietnam,2012,74.958,1.5837081215802,1443.49261488872,Z4,XN,105.825,21.0069
VNM,Vietnam,2000,73.025,0.671308552382385,765.185650932615,Z4,XN,105.825,21.0069
VNM,Vietnam,2001,73.228,0.757220692413793,804.198861669933,Z4,XN,105.825,21.0069
VNM,Vietnam,2002,73.438,0.86841991749569,846.726291955591,Z4,XN,105.825,21.0069
VNM,Vietnam,2003,73.654,0.957054375673802,896.704375753457,Z4,XN,105.825,21.0069
VNM,Vietnam,2004,73.875,1.09012949367564,955.447267091645,Z4,XN,105.825,21.0069
VNM,Vietnam,2005,74.092,1.17070825176359,1018.12112382332,Z4,XN,105.825,21.0069
VNM,Vietnam,2006,74.295,1.21423611464006,1079.06248842695,Z4,XN,105.825,21.0069
VNM,Vietnam,2007,74.474,1.22773396327782,1145.14003771978,Z4,XN,105.825,21.0069
VNM,Vietnam,2014,75.056,1.81989397652576,1579.189101937,Z4,XN,105.825,21.0069
VNM,Vietnam,2015,75.11,NA,1667.1718910463,Z4,XN,105.825,21.0069
VNM,Vietnam,2016,75.172,NA,1752.53194613377,Z4,XN,105.825,21.0069
VNM,Vietnam,2013,75.006,1.62230762917809,1505.81094882914,Z4,XN,105.825,21.0069
VNM,Vietnam,2018,75.317,NA,1964.4759908863,Z4,XN,105.825,21.0069
VNM,Vietnam,2017,75.241,NA,1852.96303732618,Z4,XN,105.825,21.0069
